# This is a continuation of trace file C:\EDT WS\GraduationWS\.metadata\trace.log.bak_0
# version: 1.1
# verbose: true
# Time of creation: 2026-05-26 21:21:14.341
| derived_data_executor_6 | 2026-05-26 21:21:26.212 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/assumedExternalFilesCache |
| derived_data_executor_3 | 2026-05-26 21:21:26.208 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to be updated in infobase after file has been deleted: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/.root/.markers.snap |
| derived_data_executor_6 | 2026-05-26 21:21:26.221 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/assumedExternalFilesCache |
| derived_data_executor_4 | 2026-05-26 21:21:26.220 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | Skipping changed file because no owner object was found: L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.debug.core.prefs |
| derived_data_executor_2 | 2026-05-26 21:21:26.218 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to be updated in infobase after file has been deleted: L/Graduation/.metadata/.plugins/org.eclipse.core.resources/0.snap |
| derived_data_executor_4 | 2026-05-26 21:21:26.225 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.core.runtime/.settings/org.eclipse.debug.core.prefs, originally changed objects=null |
| derived_data_executor_6 | 2026-05-26 21:21:26.224 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | There are no objects to update in infobase after file has been changed:  changed file=L/Graduation/.metadata/.plugins/org.eclipse.jdt.core/assumedExternalFilesCache, originally changed objects=null |
| derived_data_executor_9 | 2026-05-26 21:21:29.317 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been deleted, going to determine list of what to update on infobase side: L/Graduation/.metadata/1cedtcli-force-kill-tag |
| derived_data_executor_5 | 2026-05-26 21:21:29.318 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Graduation/.metadata/1cedtcli-shutdown-hook.log |
| derived_data_executor_8 | 2026-05-26 21:21:29.317 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 239 | File has been deleted, going to determine list of what to update on infobase side: L/Graduation/.metadata/telemetry.log.0.lck |
